tier,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01
1,40388.0,77427.0,100286.0,130569.0,151530.0,146588.0,176953.0,242372.0,280333.0,330540.0,325550.0,356580.0,361527.0,321573.0,341567.0,246585.0
2,70447.0,102156.0,158336.0,166473.0,162645.0,126824.0,139434.0,153433.0,144417.0,132987.0,146117.0,121136.0,91225.0,57624.0,106450.0,79826.0
3,63318.0,75297.0,49079.0,69476.0,75335.0,67793.0,82628.0,90935.0,75384.0,68028.0,77609.0,31939.0,55937.0,39332.0,17520.0,28155.0
