tier,June 2021,July 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022
1,330.0,506.0,626.0,845.0,911.0,864.0,934.0,1222.0,1135.0,1921.0,2151.0,2366.0,3138.0,3960.0,5127.0,3310.0
2,426.0,1034.0,1684.0,2340.0,2485.0,2455.0,2715.0,3001.0,2875.0,3239.0,3605.0,3230.0,2713.0,1578.0,1336.0,824.0
3,1047.0,1389.0,1198.0,1245.0,888.0,474.0,441.0,528.0,376.0,648.0,897.0,372.0,301.0,177.0,173.0,186.0
4,159.0,140.0,120.0,126.0,73.0,150.0,217.0,158.0,120.0,108.0,99.0,74.0,151.0,108.0,54.0,56.0
5,84.0,79.0,59.0,53.0,63.0,70.0,33.0,30.0,35.0,44.0,54.0,31.0,0.0,0.0,0.0,0.0
